licitacao,unidade,modalidade,item_lote,item_id,codigo_item_siga,descricao,quantidade,exclusivo_me_epp
PD0057/26 R1,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 2,83282,6510.004.0026,"ATADURA ORTOPEDICA,MATERIAL: CREPOM, LARGURA: 10 CM, COMPRIMENTO: 1,8 M, COR: NATURAL, ACABAMENTO: TRAMA FECHADA ENROLADA UNIFORMEMENTE EM FORMA CILINDRICA, EMBALAGEM: INDIVIDUAL, NORMA: CONFORME PORTARIA DO MS. - ID:83282 - Código do Item:6510.004.0026",28100,N
PD0057/26 R1,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 3,104507,6510.002.0017,"ATADURA GESSADA,MATERIAL: 100% ALGODAO, LARGURA: 15 CM, COMPRIMENTO: 300 CM, EMBALAGEM: INDIVIDUAL, ACABAMENTO: ENROLADO DE FORMA CONTINUA - ID:104507 - Código do Item:6510.002.0017",630,N
PD0069/26,UERJ - ADMINISTRACAO CENTRAL,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 1,191083,4110.005.0039,"FRIGOBAR,COR: BRANCA, CAPACIDADE FREEZER: N/A, CAPACIDADE REFRIGERADOR: 117 ~ 125 L, CAPACIDADE TOTAL: 117 ~ 125 L, TENSAO: 110/127 V, DIMENSAO (H X L X P): 83~88 X 48~52 X 51~56 CM, FORMA FORNECIMENTO: UNIDADE - ID:191083 - Código do Item:4110.005.0039",1,N
PD0071/26 R1,UERJ - ADMINISTRACAO CENTRAL,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 1,142158,7730.015.0124,"TELEVISOR / TV / TELEVISAO,MODELO: LED ULTRA HD 4K, SISTEMA SOM: DOLBY DIGITAL PLUS, VIRTUAL SURROUND, DTS CODEC, TAMANHO: 55 ``, TENSAO: AC100-240V 50/60HZ, SISTEMA CAPTACAO: ISDB-T, ACESSORIO: BATERIAS PARA CONTROLE REMOTO, 1 CABO DE CONEXAO HDMI/HDMI DE 30M, 1 CABO CONEXAO PADRAO HDMI/DVI DE 2M, DIMENSAO (L X H X P): 124,6 X 76,1 X 23,2 CM, ENTRADAS: 2 HDMI, 2 USB, 1 ENTRADA DE COMPONENTE (Y/PB/PR), 1 ETHERNET LAN, 1 ENTRADA DE COMPOSTO (AV), SAIDAS: 1 DE AUDIO (MINI ENTRADA), 1 DE AUDIO DIGITAL (OPTICA), FORMA FORNECIMENTO: UNIDADE - ID:142158 - Código do Item:7730.015.0124",10,N
PD0071/26 R1,UERJ - ADMINISTRACAO CENTRAL,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 2,193002,5999.003.0090,"SUPORTE EQUIPAMENTO ELETRICO-ELETRONICO,MATERIAL: ACO CARBONO, TIPO EQUIPAMENTO: SUPORTE PARA TV 55`` A 85``, CAPACIDADE CARGA: N/D, DIMENSAO (H X L X C): COMPATIVEIS 26` A 75`, COR: CINZA/PRETO, MODELO: PAREDE COM AJUSTE DE INCLINACAO, FORMA FORNECIMENTO: UNIDADE - ID:193002 - Código do Item:5999.003.0090",10,N
PD0073/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 1,139053,6820.006.0500,"ANTICORPO,CLASSIFICACAO: CONJUGADO, TIPO: MONOCLONAL CAMUNDONGO ANTI-CD45 HUMANO, TECNICA: CITOMETRIA FLUXO, MARCACAO: APC-H7, FORMA FORNECIMENTO: UNIDADE - ID:139053 - Código do Item:6820.006.0500",200,N
PD0073/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 2,138179,6820.006.0451,"ANTICORPO,CLASSIFICACAO: CONJUGADO, TIPO: MONOCLONAL CAMUNDONGO ANTI-CD38 HUMANO, TECNICA: CITOMETRIA FLUXO, MARCACAO: APC-H7, FORMA FORNECIMENTO: UNIDADE - ID:138179 - Código do Item:6820.006.0451",200,N
PD0073/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 3,166904,6820.006.0768,"ANTICORPO,CLASSIFICACAO: CONJUGADO, TIPO: MONOCLONAL  ANTI-CD36 HUMANO, TECNICA: CITOMETRIA FLUXO, MARCACAO: CONJUGADO A APC-H7, FORMA FORNECIMENTO: UNIDADE - ID:166904 - Código do Item:6820.006.0768",200,N
PD0073/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 4,138171,6820.006.0443,"ANTICORPO,CLASSIFICACAO: CONJUGADO, TIPO: MONOCLONAL CAMUNDONGO ANTI-cyCD3 HUMANO, TECNICA: CITOMETRIA FLUXO, MARCACAO: APC-H7, FORMA FORNECIMENTO: UNIDADE - ID:138171 - Código do Item:6820.006.0443",200,N
PD0074/26,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 1,74552,6510.038.0016,"ATADURA,TIPO: CREPOM TIPO I, MATERIAL: 100% ALGODAO CRU, 13 FIOS/CM2, TAMANHO: 15 CM X 1,80M, EMBALAGEM: INDIVIDUAL, ACABAMENTO: UNIFORME, BORDAS ACABADAS, ISENTA DE RASGOS, IMPUREZAS E FIAPOS, NORMA: NBR 14056 - ID:74552 - Código do Item:6510.038.0016",44200,N
PD0074/26,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 2,83280,6510.004.0024,"ATADURA ORTOPEDICA,MATERIAL: CREPOM, LARGURA: 30CM, COMPRIMENTO: 1,80M, COR: NATURAL, ACABAMENTO: TRAMA  FECHADA ENROLADA UNIFORMEMENTE EM FORMA CILINDRICA, EMBALAGEM: INDIVIDUAL, NORMA: CONFORME PORTARIA DO MS. - ID:83280 - Código do Item:6510.004.0024",15850,N
PD0079/26 R1,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 1 Lote: 1,146685,6515.366.0007,"FIXADOR TUBO OROTRAQUEAL,MATERIAL:  POLIURETANO, TRATAMENTO: NAO ESTERIL, ATOXICO, HIPOALERGENICO E BACTERIOSTATICO, TAMANHO: ADULTO, CARACTERISTICA CONSTRUCAO: FLEXIVEL, EM FORMA DE TIRA IMPERMEAVEL, CONSTITUIDA DE BANNER, ESPUMA TECNICA, FITA DUPLA FACE E LACRE DE POLIURETANO, ACESSORIO: TRAVA DE SEGURANCA PARA ESTABILIZACAO DO TUBO, FORMA FORNECIMENTO: UNIDADE - ID:146685 - Código do Item:6515.366.0007",7065,N
PD0079/26 R1,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 2 Lote: 1,150979,6515.366.0008,"FIXADOR TUBO OROTRAQUEAL,MATERIAL:  POLIURETANO, TRATAMENTO: NAO ESTERIL, ATOXICO, HIPOALERGENICO E BACTERIOSTATICO, TAMANHO: INFANTIL, CARACTERISTICA CONSTRUCAO: FLEXIVEL, EM FORMA DE TIRA IMPERMEAVEL, CONSTITUIDA DE BANNER, ESPUMA TECNICA, FITA DUPLA FACE E LACRE DE POLIURETANO, ACESSORIO: TRAVA DE SEGURANCA PARA ESTABILIZACAO DO TUBO, FORMA FORNECIMENTO: UNIDADE - ID:150979 - Código do Item:6515.366.0008",103,N
PD0081/24,UERJ - ADMINISTRACAO CENTRAL,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 1,189810,7195.029.0090,"MESA AUXILIAR (USO GERAL),UTILIZACAO: USO GERAL (MESA DE APOIO/CABECEIRA), MATERIAL TAMPO: MDPBP 15MM, MATERIAL ESTRUTURA: ACO TIPO H EM CHAPAS 20 (0,90MM) COM SAPATAS NIVELADORAS, DIMENSOES: 1,20 LARGURA X 0,61 PROFUNDIDADE X 0,74 ALTURA, PRATELEIRA: SEM, ACESSORIO/ADICIONAL: ALMOFADA EM MDPBP 15MM, FORMA FORNECIMENTO: UNIDADE - ID:189810 - Código do Item:7195.029.0090",3,S
