licitacao,unidade,objeto,modalidade,criterio_julgamento,data_publicacao,data_limite_proposta,data_abertura_sessao,status
PD 003/26,SEPPENRJ - SECRETARIA DE ESTADO DE POLICIA PENAL,DEMOLIÇÃO TOTAL DO PASSADIÇO SEPPEN-FS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,13/04/2026 14:00:00,17/04/2026 09:59:00,17/04/2026 10:00:00,AGUARDANDO ADJUDICAÇÃO
PD 003/26,SEFAZ - SECRETARIA DE ESTADO DE FAZENDA,Aquisição de Camisas,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,04/05/2026 05:00:00,12/05/2026 07:50:00,12/05/2026 08:00:00,CLASSIFICAÇÃO DE LANCES
PD 004/25,DETRAN - DEPARTAMENTO DE TRÂNSITO DO ESTADO DO RJ,DETRAN/RJ - CONFEC. CORDÕES DE CRACHÁS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,09/07/2025 10:16:00,15/07/2025 07:30:00,15/07/2025 08:00:00,AGUARDANDO HOMOLOGAÇÃO
PD 004/26,SEPPENRJ - SECRETARIA DE ESTADO DE POLICIA PENAL,DEMOLIÇÃO PARCIAL DO PASSADIÇO SEPPEN-IS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,13/04/2026 14:00:00,20/04/2026 09:59:00,20/04/2026 10:00:00,AGUARDANDO ADJUDICAÇÃO
PD 004/26,SEFAZ - SECRETARIA DE ESTADO DE FAZENDA,Aquisição de 9 motores e 9 hélices,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,13/08/2026 13:10:00,20/08/2026 10:00:00,20/08/2026 11:00:00,AGUARDANDO HOMOLOGAÇÃO
PD 006/26,DETRAN - DEPARTAMENTO DE TRÂNSITO DO ESTADO DO RJ,DETRAN/RJ - CONF. DE 15.000 FORMULARIOS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,20/07/2026 13:30:00,27/07/2026 07:30:00,27/07/2026 08:00:00,AVALIAÇÃO RECURSAL
PD 008/26,GSI - GABINETE DE SEGURANÇA INSTITUCIONAL DO GOVERNO DO ESTADO DO RIO DE JANEIRO,Controle de acesso,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,21/08/2026 12:50:00,27/08/2026 10:00:00,27/08/2026 10:05:00,EM NEGOCIAÇÃO/HABILITAÇÃO
PD 024/26,SEPOL - SECRETARIA DE ESTADO DE POLICIA CIVIL,Aq de impressoras term e etiquetas,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,26/08/2026 09:00:00,04/09/2026 08:50:00,04/09/2026 09:00:00,CLASSIFICAÇÃO DE LANCES
PD 0240/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,AQUISIÇÃO DE SUBSTÂNCIAS QUÍMICAS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,04/08/2026 11:58:00,07/08/2026 14:00:00,07/08/2026 14:05:00,CLASSIFICAÇÃO DE LANCES
PD 039/26 R1,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,AQUISIÇÃO DE INSUMOS LABORATORIAIS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,28/07/2026 14:28:00,31/07/2026 14:00:00,31/07/2026 14:05:00,AGUARDANDO HOMOLOGAÇÃO
