id,nome,url,status,esquema,dominio,metodo,tipo,mime_type,iniciador,tamanho_bytes,tempo_ms,hora_inicio,categoria,recomendacao_filtro,observacoes
32,MaterialIcons-Regular.woff2,https://www.compras.rj.gov.br/conteudo-estatico/compras/fonts/icon/MaterialIcons-Regular.woff2,200,https,www.compras.rj.gov.br,GET,font,application/font-woff2,parser:estilos.css,44300,0.07,2026-09-09T16:17:17.309Z,Recurso Estático Compras RJ (Assets),Excluir (Ativo Estático),
33,Roboto-Regular.woff2,https://www.compras.rj.gov.br/conteudo-estatico/compras/fonts/Roboto-Regular.woff2,200,https,www.compras.rj.gov.br,GET,font,application/font-woff2,parser:estilos.css,49236,0.02,2026-09-09T16:17:17.309Z,Recurso Estático Compras RJ (Assets),Excluir (Ativo Estático),
34,Roboto-Light.woff2,https://www.compras.rj.gov.br/conteudo-estatico/compras/fonts/Roboto-Light.woff2,200,https,www.compras.rj.gov.br,GET,font,application/font-woff2,parser:estilos.css,49380,0.02,2026-09-09T16:17:17.309Z,Recurso Estático Compras RJ (Assets),Excluir (Ativo Estático),
35,Roboto-Bold.woff2,https://www.compras.rj.gov.br/conteudo-estatico/compras/fonts/Roboto-Bold.woff2,200,https,www.compras.rj.gov.br,GET,font,application/font-woff2,parser:estilos.css,49976,0.02,2026-09-09T16:17:17.309Z,Recurso Estático Compras RJ (Assets),Excluir (Ativo Estático),
36,bgTopo.png,https://www.compras.rj.gov.br/conteudo-estatico/compras/images/bgTopo.png,200,https,www.compras.rj.gov.br,GET,image,image/png,parser:estilos.css,133,0.04,2026-09-09T16:17:17.310Z,Recurso Estático Compras RJ (Assets),Excluir (Ativo Estático),
37,bt-aumentar-fonte.png,https://www.compras.rj.gov.br/conteudo-estatico/compras/images/bt-aumentar-fonte.png,200,https,www.compras.rj.gov.br,GET,image,image/png,parser:estilos.css,203,0.03,2026-09-09T16:17:17.310Z,Recurso Estático Compras RJ (Assets),Excluir (Ativo Estático),
38,bt-fonte-padrao.png,https://www.compras.rj.gov.br/conteudo-estatico/compras/images/bt-fonte-padrao.png,200,https,www.compras.rj.gov.br,GET,image,image/png,parser:estilos.css,349,0.02,2026-09-09T16:17:17.310Z,Recurso Estático Compras RJ (Assets),Excluir (Ativo Estático),
39,bt-diminuir-fonte.png,https://www.compras.rj.gov.br/conteudo-estatico/compras/images/bt-diminuir-fonte.png,200,https,www.compras.rj.gov.br,GET,image,image/png,parser:estilos.css,187,0.03,2026-09-09T16:17:17.310Z,Recurso Estático Compras RJ (Assets),Excluir (Ativo Estático),
40,bt-alto-contraste.png,https://www.compras.rj.gov.br/conteudo-estatico/compras/images/bt-alto-contraste.png,200,https,www.compras.rj.gov.br,GET,image,image/png,parser:estilos.css,360,0.02,2026-09-09T16:17:17.310Z,Recurso Estático Compras RJ (Assets),Excluir (Ativo Estático),
41,Bottom_FaleConosco2.png,https://www.compras.rj.gov.br/conteudo-estatico/images/Bottom_FaleConosco2.png,200,https,www.compras.rj.gov.br,GET,image,image/png,script:datatables.js:7986,8550,0.08,2026-09-09T16:17:17.328Z,Recurso Estático Compras RJ (Assets),Excluir (Ativo Estático),
42,listarSuporteUsuario,https://www.compras.rj.gov.br/Noticias/listarSuporteUsuario,200,https,www.compras.rj.gov.br,GET,xhr,application/json,script:datatables.js:9675,219,42.71,2026-09-09T16:17:17.329Z,Funcional Compras RJ (API / XHR),Incluir (Funcional),Endpoint XHR que retorna metadados de suporte e atendimento em JSON
43,/p/boot/?page=https%3A%2F%2Fwww.compras...,https://core.service.elfsight.com/p/boot/?page=https%3A%2F%2Fwww.compras.rj.gov.br%2FCatalogo%2Fbuscar.action&w=5ad55d19-9bb1-4499-8195-09613725299f,304,https,core.service.elfsight.com,GET,xhr,application/json,script:platform.js:7,125,779.56,2026-09-09T16:17:17.424Z,Widget Externo (Elfsight),Excluir (Terceiros),
44,js?id=G-869FDER0C1&cx=c&gtm=4e694...,https://www.googletagmanager.com/gtag/js?id=G-869FDER0C1&cx=c&gtm=4e6941h1,200,https,www.googletagmanager.com,GET,script,application/javascript,script:js?id=UA-148892236-1:152,455169,202.41,2026-09-09T16:17:17.543Z,Telemetria e Analytics (Google),Excluir (Analytics),
45,analytics.js,https://www.google-analytics.com/analytics.js,304,https,www.google-analytics.com,GET,script,text/javascript,script:js?id=UA-148892236-1:152,52310,29.27,2026-09-09T16:17:17.545Z,Telemetria e Analytics (Google),Excluir (Analytics),
46,font_1011144_jmo4009ffif.woff2?t=1719821135173,https://at.alicdn.com/t/c/font_1011144_jmo4009ffif.woff2?t=1719821135173,200,https,at.alicdn.com,GET,font,font/woff2,parser:buscar.action,13112,0.1,2026-09-09T16:17:17.875Z,Recurso Externo CDN / Fonte,Excluir (Ativo Estático),
47,CircularXXWeb-Book-cd7d2bcec649b1243839a15d5eb8f0a3.woff2,https://cdn.loom.com/assets/fonts/circular/CircularXXWeb-Book-cd7d2bcec649b1243839a15d5eb8f0a3.woff2,200,https,cdn.loom.com,GET,font,font/woff2,parser:buscar.action,69026,0.07,2026-09-09T16:17:17.893Z,Recurso Externo CDN / Fonte,Excluir (Ativo Estático),
48,list,https://gator.volces.com/list,200,https,gator.volces.com,POST,xhr,application/json,script:content.js:224,95,6035.57,2026-09-09T16:17:17.910Z,Extensão / Rastreamento Externo,Excluir (Extensão Navegador),Chamada originada de extensão do navegador (chrome-extension://caejcfciegnnnepdhaopdogngbmojodl)
49,list,https://gator.volces.com/list,200,https,gator.volces.com,OPTIONS,preflight,x-unknown,preflight,0,1827.77,2026-09-09T16:17:17.958Z,Extensão / Rastreamento Externo,Excluir (Extensão Navegador),Chamada originada de extensão do navegador (chrome-extension://caejcfciegnnnepdhaopdogngbmojodl)
50,favicon.png,https://www.compras.rj.gov.br/conteudo-estatico/compras/images/favicon.png,200,https,www.compras.rj.gov.br,GET,other,image/png,other,18318,9.24,2026-09-09T16:17:17.974Z,Compras RJ Outros,Excluir (Outros),
51,collect?v=2&tid=G-869FDER0C1&gtm=45je6...,https://www.google-analytics.com/g/collect?v=2&tid=G-869FDER0C1&gtm=45je6941h1v9104807067za20g&_p=1788970637301&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=EAAIAAQ&cid=2017873155.1788959188&frm=0&ir=1&ngs=1&pscdl=noapi&rcb=15&sr=1920x1080&uaa=x86&uab=64&uafvl=Chromium%3B152.0.7977.83%7CNot%253FA_Brand%3B24.0.0.0%7CMicrosoft%2520Edge%3B152.0.4191.66&uam=&uamb=0&uap=Windows&uapv=19.0.0&uaw=0&ul=pt-br&_s=1&tag_exp=115616986~115938465~115938468~118897920~118897930~120213116~120385423~120469145~120469153&sid=1788970637&sct=2&seg=1&dl=https%3A%2F%2Fwww.compras.rj.gov.br%2FCatalogo%2Fbuscar.action&dr=https%3A%2F%2Fwww.compras.rj.gov.br%2FEditaisLicitacoes%2Fdetalhar.action%3FidLic%3D25159%26orderColumn%3D0%26orderDirection%3Dasc%26filtro.nuLic%3D%26filtro.objetoLic%3D%26filtro.processoLic%3D%26filtro.idStatus%3D%26filtro.idModalidade%3D%26filtro.idModoDisputa%3D%26filtro.centroCusto%3D%26filtro.idFormaLicitacao%3D%26filtro.dtIniProp%3D%26filtro.dtFimProp%3D%26filtro.dtFimHomol%3D%26filtro.dtIniHomol%3D%26filtro.dtFimPublic%3D%26filtro.dtIniPublic%3D%26filtro.dtIniPublic%3D%26filtro.mpe%3D%26filtro.srp%3D%26filtro.idTipoRamoAtividade%3D%26filtro.idFamilia%3D%26filtro.idClasse%3D%26filtro.idArtigo%3D%26filtro.item%3D%26filtro.inSustentavel%3Dfalse%26filtro.tipoPesquisa_1%3D%26filtro.campoPesquisa_1%3D%26filtro.termoPesquisaItem_1%3D%26filtro.tipoPesquisa_2%3D%26filtro.campoPesquisa_2%3D%26filtro.termoPesquisaItem_2%3D%26filtro.condicao_2%3D%26filtro.tipoPesquisa_3%3D%26filtro.campoPesquisa_3%3D%26filtro.termoPesquisaItem_3%3D%26filtro.condicao_3%3D%26numRegistros%3D%26idAndamento%3D2%26filtro.start%3D0%26filtro.length%3D100%26filtro.orderColumn%3D%26filtro.orderDirection%3D%26filtro.tipoRelatorio%3D12%26dataTable_length%3D100%26filtro.filtroLicitacao%3D%26filtro.filtroUnidade%3D%26filtro.filtroProcesso%3D%26filtro.filtroObjeto%3D%26filtro.filtroModalidade%3D%26filtro.filtroDtPublicacao%3D%26filtro.filtroStatus%3D%26filtro.filtroValorHomolog%3D%26filtro.filtroUrlPncp%3D&dt=Cat%C3%A1logo&en=page_view&tfd=5956,204,https,www.google-analytics.com,POST,fetch,text/plain,script:js?id=G-869FDER0C1&cx=c&gtm=4e6941h1:225,0,1046.22,2026-09-09T16:17:23.005Z,Telemetria e Analytics (Google),Excluir (Analytics),
52,carregaFamilia.action?ramoAtividade.idTipo=1,https://www.compras.rj.gov.br/Catalogo/carregaFamilia.action?ramoAtividade.idTipo=1,200,https,www.compras.rj.gov.br,GET,xhr,application/json,script:datatables.js:9675,12980,278.31,2026-09-09T16:18:01.515Z,Funcional Compras RJ (API / XHR),Incluir (Funcional),Chamada XHR dinâmica que carrega árvore de famílias do catálogo de compras por idTipo
